[2026-04-29T13:01:13.456325] seq_id=1, LNA=1, Filter=2, Center=1, Mixer=4.313dBm, IFAmp=13.977dB, EVM=99.601%, Status=0
[2026-04-29T13:01:13.640370] seq_id=2, LNA=1, Filter=1, Center=1, Mixer=0.255dBm, IFAmp=16.862dB, EVM=97.533%, Status=0
[2026-04-29T13:01:13.760870] seq_id=3, LNA=1, Filter=1, Center=1, Mixer=0.275dBm, IFAmp=16.782dB, EVM=97.551%, Status=0
[2026-04-29T13:01:13.935124] seq_id=4, LNA=1, Filter=1, Center=1, Mixer=0.273dBm, IFAmp=16.783dB, EVM=97.545%, Status=0
[2026-04-29T13:01:14.059249] seq_id=5, LNA=1, Filter=1, Center=1, Mixer=0.255dBm, IFAmp=16.839dB, EVM=97.551%, Status=0
[2026-04-29T13:01:14.184910] seq_id=6, LNA=1, Filter=1, Center=1, Mixer=0.246dBm, IFAmp=16.822dB, EVM=97.557%, Status=0
[2026-04-29T13:01:14.311795] seq_id=7, LNA=1, Filter=1, Center=1, Mixer=0.286dBm, IFAmp=16.780dB, EVM=97.551%, Status=0
[2026-04-29T13:01:14.450126] seq_id=8, LNA=1, Filter=1, Center=1, Mixer=0.283dBm, IFAmp=16.733dB, EVM=97.546%, Status=0
[2026-04-29T13:01:14.628166] seq_id=9, LNA=1, Filter=1, Center=1, Mixer=0.277dBm, IFAmp=16.750dB, EVM=97.547%, Status=0
[2026-04-29T13:01:14.761087] seq_id=10, LNA=1, Filter=1, Center=1, Mixer=0.286dBm, IFAmp=16.752dB, EVM=97.535%, Status=0
[2026-04-29T13:01:14.884493] seq_id=11, LNA=1, Filter=1, Center=1, Mixer=0.264dBm, IFAmp=16.797dB, EVM=97.553%, Status=0
[2026-04-29T13:01:15.013464] seq_id=12, LNA=1, Filter=1, Center=1, Mixer=0.276dBm, IFAmp=16.789dB, EVM=97.530%, Status=0
[2026-04-29T13:01:15.136348] seq_id=13, LNA=1, Filter=1, Center=1, Mixer=0.251dBm, IFAmp=16.875dB, EVM=97.529%, Status=0
[2026-04-29T13:01:15.261874] seq_id=14, LNA=1, Filter=1, Center=1, Mixer=0.272dBm, IFAmp=16.819dB, EVM=97.537%, Status=0
[2026-04-29T13:01:15.445518] seq_id=15, LNA=1, Filter=1, Center=1, Mixer=0.281dBm, IFAmp=16.759dB, EVM=97.530%, Status=0
[2026-04-29T13:01:15.624447] seq_id=16, LNA=1, Filter=1, Center=1, Mixer=0.276dBm, IFAmp=16.780dB, EVM=97.534%, Status=0
[2026-04-29T13:01:15.803964] seq_id=17, LNA=1, Filter=1, Center=1, Mixer=0.275dBm, IFAmp=16.785dB, EVM=97.537%, Status=0
[2026-04-29T13:01:15.982776] seq_id=18, LNA=1, Filter=1, Center=1, Mixer=0.259dBm, IFAmp=16.779dB, EVM=97.530%, Status=0
[2026-04-29T13:01:16.107904] seq_id=19, LNA=1, Filter=1, Center=1, Mixer=0.285dBm, IFAmp=16.785dB, EVM=97.541%, Status=0
[2026-04-29T13:01:16.235066] seq_id=20, LNA=1, Filter=1, Center=1, Mixer=0.268dBm, IFAmp=16.753dB, EVM=97.527%, Status=0
[2026-04-29T13:01:16.361018] seq_id=21, LNA=1, Filter=1, Center=1, Mixer=0.288dBm, IFAmp=16.737dB, EVM=97.548%, Status=0
[2026-04-29T13:01:16.488140] seq_id=22, LNA=1, Filter=1, Center=1, Mixer=0.281dBm, IFAmp=16.805dB, EVM=97.555%, Status=0
[2026-04-29T13:01:16.611337] seq_id=23, LNA=1, Filter=1, Center=1, Mixer=0.271dBm, IFAmp=16.786dB, EVM=97.548%, Status=0
[2026-04-29T13:01:16.735144] seq_id=24, LNA=1, Filter=1, Center=1, Mixer=0.286dBm, IFAmp=16.759dB, EVM=97.551%, Status=0
[2026-04-29T13:01:16.871570] seq_id=25, LNA=1, Filter=1, Center=1, Mixer=0.280dBm, IFAmp=16.721dB, EVM=97.538%, Status=0
[2026-04-29T13:01:17.029988] seq_id=26, LNA=1, Filter=1, Center=1, Mixer=0.269dBm, IFAmp=16.812dB, EVM=97.561%, Status=0
[2026-04-29T13:01:17.157954] seq_id=27, LNA=1, Filter=1, Center=1, Mixer=0.282dBm, IFAmp=16.749dB, EVM=97.547%, Status=0
[2026-04-29T13:01:17.338564] seq_id=28, LNA=1, Filter=1, Center=1, Mixer=0.289dBm, IFAmp=16.770dB, EVM=97.534%, Status=0
[2026-04-29T13:01:17.464605] seq_id=29, LNA=1, Filter=1, Center=1, Mixer=0.268dBm, IFAmp=16.760dB, EVM=97.547%, Status=0
[2026-04-29T13:01:17.589791] seq_id=30, LNA=1, Filter=1, Center=1, Mixer=0.293dBm, IFAmp=16.761dB, EVM=97.544%, Status=0
[2026-04-29T13:01:17.772267] seq_id=31, LNA=1, Filter=1, Center=1, Mixer=0.279dBm, IFAmp=16.800dB, EVM=97.542%, Status=0
[2026-04-29T13:01:17.919976] seq_id=32, LNA=1, Filter=1, Center=1, Mixer=0.276dBm, IFAmp=16.783dB, EVM=97.542%, Status=0
[2026-04-29T13:01:18.073184] seq_id=33, LNA=1, Filter=1, Center=1, Mixer=0.269dBm, IFAmp=16.780dB, EVM=97.539%, Status=0
[2026-04-29T13:01:18.230912] seq_id=34, LNA=1, Filter=1, Center=1, Mixer=0.285dBm, IFAmp=16.760dB, EVM=97.544%, Status=0
[2026-04-29T13:01:18.389760] seq_id=35, LNA=1, Filter=1, Center=1, Mixer=0.264dBm, IFAmp=16.815dB, EVM=97.532%, Status=0
[2026-04-29T13:01:18.541181] seq_id=36, LNA=1, Filter=1, Center=1, Mixer=0.261dBm, IFAmp=16.832dB, EVM=97.555%, Status=0
[2026-04-29T13:01:18.701778] seq_id=37, LNA=1, Filter=1, Center=1, Mixer=0.271dBm, IFAmp=16.757dB, EVM=97.535%, Status=0
[2026-04-29T13:01:18.839084] seq_id=38, LNA=1, Filter=1, Center=1, Mixer=0.265dBm, IFAmp=16.814dB, EVM=97.535%, Status=0
[2026-04-29T13:01:19.021189] seq_id=39, LNA=1, Filter=1, Center=1, Mixer=0.297dBm, IFAmp=16.708dB, EVM=97.549%, Status=0
